,Country,City,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,VN,Hue,1605339821,16.47,107.6,69.8,100,75,16.47
1,NZ,Ahipara,1605340004,-35.17,173.17,58.03,75,0,-35.17
2,CA,Yellowknife,1605340004,62.46,-114.35,-4.0,83,90,62.46
3,US,Albany,1605339974,42.6,-73.97,44.01,69,52,42.6
4,MY,George Town,1605339974,5.41,100.34,89.6,79,20,5.41
5,CL,Punta Arenas,1605339844,-53.15,-70.92,37.4,86,40,-53.15
6,RU,Tarko-Sale,1605340004,64.92,77.78,-11.0,81,60,64.92
7,GA,Gamba,1605340004,-2.65,10.0,79.32,83,100,-2.65
8,RU,Tynda,1605340005,55.17,124.72,19.74,91,91,55.17
9,GL,Qaanaaq,1605340005,77.48,-69.36,1.58,81,91,77.48
10,SA,Faya,1605340005,18.39,42.45,69.8,35,0,18.39
11,AU,Swan Hill,1605340005,-35.34,143.55,77.07,28,0,-35.34
12,ZA,Bredasdorp,1605340005,-34.53,20.04,68.0,56,43,-34.53
13,PF,Atuona,1605340005,-9.8,-139.03,77.7,76,24,-9.8
14,US,Barrow,1605340005,71.29,-156.79,19.4,73,90,71.29
15,AR,Ushuaia,1605339708,-54.8,-68.3,35.6,93,75,-54.8
16,IS,Hofn,1605340006,64.25,-15.21,41.29,67,66,64.25
17,PK,Khipro,1605340006,25.83,69.38,90.37,14,0,25.83
18,RU,Severo-Kuril'sk,1605340006,50.68,156.12,44.35,92,100,50.68
19,CK,Avarua,1605340006,-21.21,-159.78,71.6,88,100,-21.21
20,GL,Upernavik,1605340006,72.79,-56.15,16.54,96,100,72.79
21,RU,Severnoye,1605340006,56.35,78.36,24.82,96,100,56.35
22,PF,Rikitea,1605340079,-23.12,-134.97,75.34,83,100,-23.12
23,RU,Evensk,1605340007,61.95,159.23,6.64,85,99,61.95
24,BR,Carutapera,1605340007,-1.2,-46.02,76.66,88,99,-1.2
25,KZ,Quryq,1605340007,43.2,51.65,44.87,59,2,43.2
26,PK,Kadhan,1605340007,24.48,68.99,89.11,19,0,24.48
27,VN,Kwang Binh,1605340007,17.48,106.6,72.21,74,100,17.48
28,US,Minot,1605339897,48.23,-101.3,36.0,59,20,48.23
29,RE,Saint-Philippe,1605340007,-21.36,55.77,77.0,78,90,-21.36
30,RU,Chokurdakh,1605340007,70.63,147.92,-16.04,90,76,70.63
31,GM,Nioro,1605340008,13.35,-15.75,70.48,29,0,13.35
32,RU,Nadym,1605340008,65.53,72.52,-7.46,90,1,65.53
33,SA,Sakakah,1605339964,29.97,40.21,68.0,42,40,29.97
34,TO,Vaini,1605340008,-21.2,-175.2,77.0,88,20,-21.2
35,NO,Jørpeland,1605340008,59.02,6.04,46.4,87,40,59.02
36,CN,Zhuhai,1605340008,22.28,113.57,77.0,60,40,22.28
37,PT,Ponta do Sol,1605340008,32.67,-17.1,69.8,83,40,32.67
38,ZA,Aliwal North,1605340008,-30.69,26.71,83.34,23,6,-30.69
39,GL,Tasiilaq,1605340009,65.61,-37.64,21.2,57,100,65.61
40,US,Jamestown,1605339965,42.1,-79.24,39.0,83,90,42.1
41,AR,Mar del Plata,1605340009,-38.0,-57.56,64.0,93,90,-38.0
42,CI,Tabou,1605340009,4.42,-7.35,80.04,82,0,4.42
43,NU,Alofi,1605340009,-19.06,-169.92,75.2,88,64,-19.06
44,AU,Busselton,1605340009,-33.65,115.33,61.0,82,72,-33.65
45,SN,Dakar,1605339933,14.69,-17.44,77.0,22,0,14.69
46,ZA,East London,1605340009,-33.02,27.91,75.2,44,0,-33.02
47,CA,Haines Junction,1605340009,60.75,-137.51,15.8,85,100,60.75
48,CU,Aguada de Pasajeros,1605340010,22.39,-80.85,75.2,100,0,22.39
49,TH,Nakhon Phanom,1605340010,17.33,104.42,86.0,35,0,17.33
50,AU,Nhulunbuy,1605340010,-12.23,136.77,87.8,62,12,-12.23
51,NZ,Mataura,1605340010,-46.19,168.86,60.01,80,100,-46.19
52,MN,Darhan,1605340010,49.49,105.92,31.68,84,2,49.49
53,US,Kapaa,1605340010,22.08,-159.32,78.8,78,1,22.08
54,BR,Cachoeiras de Macacu,1605340010,-22.46,-42.65,70.74,85,100,-22.46
55,CN,Korla,1605340011,41.76,86.15,53.82,35,81,41.76
56,RU,Bilibino,1605340011,68.05,166.44,-9.76,87,100,68.05
57,EC,Puerto Ayora,1605340011,-0.74,-90.35,69.01,89,84,-0.74
58,ES,Los Llanos de Aridane,1605340011,28.66,-17.92,73.4,73,20,28.66
59,AU,Hobart,1605339791,-42.88,147.33,62.6,45,75,-42.88
60,GL,Narsaq,1605340011,60.92,-46.05,15.8,61,57,60.92
61,CA,Tuktoyaktuk,1605340011,69.45,-133.04,-1.98,92,99,69.45
62,PL,Dobre Miasto,1605340011,53.99,20.4,41.0,100,90,53.99
63,NO,Vardø,1605340012,70.37,31.11,40.62,77,1,70.37
64,AU,Geraldton,1605340012,-28.77,114.6,73.4,53,75,-28.77
65,RU,Saskylakh,1605340012,71.92,114.08,-8.03,90,77,71.92
66,VG,Road Town,1605339779,18.42,-64.62,79.0,88,86,18.42
67,CL,Lebu,1605340012,-37.62,-73.65,46.4,85,4,-37.62
68,MV,Hithadhoo,1605340012,-0.6,73.08,83.07,77,100,-0.6
69,US,Hilo,1605339834,19.73,-155.09,73.4,78,75,19.73
70,CF,Bria,1605340012,6.54,21.99,80.29,46,71,6.54
71,KI,Butaritari,1605340013,3.07,172.79,81.88,63,0,3.07
72,ID,Labuhan,1605340013,-6.88,112.21,87.75,66,39,-6.88
73,NG,Ilorin,1605340013,8.5,4.55,71.6,73,0,8.5
74,FR,Saint-François,1605340013,46.42,3.91,37.4,93,90,46.42
75,JM,Morant Bay,1605340013,17.88,-76.41,77.0,94,20,17.88
76,UY,Durazno,1605340013,-33.41,-56.5,58.87,97,10,-33.41
77,PH,Bantogon,1605340013,6.53,124.03,83.26,75,58,6.53
78,RU,Konosha,1605340013,60.97,40.26,33.06,96,100,60.97
79,TL,Airai,1605340013,-8.93,125.41,75.45,61,13,-8.93
80,BR,Itarema,1605340014,-2.92,-39.92,79.23,79,0,-2.92
81,CL,Constitución,1605340014,-35.33,-72.42,51.89,79,70,-35.33
82,RU,Naryan-Mar,1605340014,67.67,53.09,17.91,94,100,67.67
83,CN,Yuncheng,1605340014,35.02,110.99,64.42,36,0,35.02
84,VN,Bac Lieu,1605340014,9.29,105.72,85.71,66,100,9.29
85,RU,Lavrentiya,1605340014,65.58,-171.0,23.81,93,48,65.58
86,PH,San Policarpo,1605340015,12.18,125.51,83.37,82,81,12.18
87,RU,Sergach,1605340015,55.53,45.47,30.47,95,86,55.53
88,NC,Vao,1605340015,-22.67,167.48,75.2,84,0,-22.67
89,PE,Bellavista,1605340015,-7.06,-76.59,70.72,96,100,-7.06
90,US,Saint George,1605340004,37.1,-113.58,43.0,44,1,37.1
91,GH,Esim,1605340015,4.87,-2.24,81.75,78,4,4.87
92,AU,New Norfolk,1605340015,-42.78,147.06,62.01,50,99,-42.78
93,NA,Lüderitz,1605340015,-26.65,15.16,63.77,70,100,-26.65
94,US,Bayshore Gardens,1605340015,27.43,-82.59,73.0,94,40,27.43
95,CN,Zhenhaicun,1605340016,24.26,118.09,71.6,64,75,24.26
96,MX,Coahuayana Viejo,1605340016,18.73,-103.68,73.27,87,18,18.73
97,IR,Dārāb,1605340016,28.75,54.54,64.36,35,1,28.75
98,KM,Mitsamiouli,1605340016,-11.38,43.28,80.76,74,100,-11.38
99,BR,Cidreira,1605340016,-30.18,-50.21,68.45,92,19,-30.18
100,RU,Pevek,1605340016,69.7,170.31,2.19,95,99,69.7
101,AU,Narrabri,1605340016,-30.32,149.78,89.6,15,0,-30.32
102,LY,Ubari,1605340017,26.59,12.78,64.45,51,0,26.59
103,CN,Shitanjing,1605340017,39.23,106.34,53.78,52,5,39.23
104,BR,Maricá,1605340017,-22.92,-42.82,75.2,88,75,-22.92
105,BR,Touros,1605340017,-5.2,-35.46,75.2,94,75,-5.2
106,CV,São Filipe,1605340017,14.9,-24.5,80.29,62,27,14.9
107,JP,Shizunai-furukawachō,1605340017,42.33,142.37,43.56,71,7,42.33
108,RU,Tokur,1605340017,53.13,132.9,19.42,95,100,53.13
109,MN,Khovd,1605340018,48.01,91.64,39.61,57,31,48.01
110,MA,Nador,1605340018,35.17,-2.93,64.4,93,20,35.17
111,BF,Kongoussi,1605340018,13.33,-1.53,78.12,18,0,13.33
112,SA,Najrān,1605340018,17.49,44.13,75.2,31,0,17.49
113,NZ,Bluff,1605339981,-46.6,168.33,60.01,80,100,-46.6
114,ZA,Hermanus,1605340018,-34.42,19.23,70.0,59,88,-34.42
115,NO,Skjervøy,1605340018,70.03,20.97,43.27,65,40,70.03
116,RU,Dikson,1605340018,73.51,80.55,10.92,96,100,73.51
117,NE,Arlit,1605340019,18.74,7.39,76.32,22,0,18.74
118,RU,Khatanga,1605340019,71.97,102.5,-16.13,89,100,71.97
119,CN,Linxia Chengguanzhen,1605340019,35.6,103.21,59.56,39,0,35.6
120,IE,Bantry,1605340019,51.68,-9.45,51.8,93,75,51.68
121,MX,Nuevo Progreso,1605340019,23.17,-97.95,69.01,96,31,23.17
122,IR,Asadābād,1605340019,34.78,48.12,42.8,70,20,34.78
123,JP,Shimoda,1605340019,34.67,138.95,62.6,48,20,34.67
124,AU,Mount Gambier,1605340020,-37.83,140.77,62.6,63,75,-37.83
125,ID,Bengkulu,1605340020,-3.8,102.27,83.71,78,100,-3.8
126,MU,Bambous Virieux,1605340020,-20.34,57.76,80.6,78,40,-20.34
127,SD,Doka,1605340020,13.52,35.77,89.62,32,0,13.52
128,MY,George Town,1605339911,5.41,100.34,89.6,79,20,5.41
129,GF,Mana,1605340002,5.66,-53.78,77.76,89,100,5.66
130,RU,Provideniya,1605340020,64.38,-173.3,20.21,90,1,64.38
131,ES,Mieres,1605340021,43.25,-5.77,57.0,68,46,43.25
132,CA,Iqaluit,1605339888,63.75,-68.51,17.6,72,90,63.75
133,US,Hailey,1605340021,43.52,-114.32,28.4,100,90,43.52
134,JP,Kitami,1605340021,43.8,143.89,42.8,60,75,43.8
135,RU,Leningradskiy,1605340021,69.38,178.42,5.74,89,49,69.38
136,TM,Murgab,1605340021,37.5,61.97,48.2,57,0,37.5
137,MR,Adrar,1605339924,20.5,-10.07,74.1,20,42,20.5
138,IE,Kinsale,1605340021,51.71,-8.53,51.01,100,90,51.71
139,CD,Lusambo,1605340022,-4.97,23.45,75.72,91,99,-4.97
140,US,San Patricio,1605340022,28.02,-97.52,75.0,100,40,28.02
141,US,Bethel,1605340022,41.37,-73.41,37.99,100,1,41.37
142,KZ,Aktau,1605340022,43.65,51.2,39.2,64,40,43.65
143,TC,Cockburn Town,1605340022,21.46,-71.14,80.85,74,7,21.46
144,GL,Ilulissat,1605340022,69.22,-51.1,17.6,72,97,69.22
145,UA,Krasne,1605340022,49.91,24.61,41.0,100,0,49.91
146,AI,The Valley,1605340022,18.22,-63.06,80.01,84,26,18.22
147,FO,Klaksvík,1605339974,62.23,-6.59,44.6,87,0,62.23
148,RU,Baykit,1605340023,61.67,96.37,12.97,92,83,61.67
149,BR,Aripuanã,1605340023,-9.17,-60.63,71.49,95,89,-9.17
150,ZA,Saldanha,1605340023,-33.01,17.94,68.0,49,100,-33.01
151,BR,Boa Vista,1605340023,2.82,-60.67,77.0,88,75,2.82
152,KZ,Ayagoz,1605340023,47.97,80.44,33.51,75,99,47.97
153,SO,Oddur,1605340023,4.12,43.89,79.2,66,86,4.12
154,RU,Nikolskoye,1605340024,59.7,30.79,34.0,86,75,59.7
155,AU,Port Augusta,1605340024,-32.5,137.77,93.2,14,0,-32.5
156,AU,Port Lincoln,1605339794,-34.73,135.87,66.36,60,0,-34.73
157,MY,Kuching,1605340024,1.55,110.33,87.8,74,40,1.55
158,CA,Torbay,1605340024,47.67,-52.73,37.99,80,90,47.67
159,BR,Oriximiná,1605340024,-1.77,-55.87,75.61,90,68,-1.77
160,CD,Kabare,1605340024,-2.47,28.82,73.74,68,14,-2.47
161,SO,Oodweyne,1605340024,9.41,45.06,84.02,13,0,9.41
162,CA,Matagami,1605340025,49.75,-77.63,26.6,92,90,49.75
163,MX,Cabo San Lucas,1605340025,22.89,-109.91,70.0,80,23,22.89
164,RE,Saint-Pierre,1605340025,-21.34,55.48,77.0,78,90,-21.34
165,RU,Tegul'det,1605340025,57.31,88.17,25.21,95,94,57.31
166,IL,Tirat Carmel,1605340025,32.76,34.97,77.0,38,20,32.76
167,KZ,Saryagash,1605340025,41.45,69.17,42.8,48,40,41.45
168,CA,La Ronge,1605340025,55.1,-105.28,10.4,92,100,55.1
169,BR,Amapá,1605340025,1.0,-52.0,71.01,98,100,1.0
170,BG,Obzor,1605340026,42.82,27.88,51.8,81,90,42.82
171,MU,Souillac,1605340026,-20.52,57.52,80.6,78,40,-20.52
172,ET,Gambēla,1605340026,8.25,34.58,93.34,40,96,8.25
173,CN,Licheng,1605340026,23.3,113.83,73.0,68,75,23.3
174,LR,Harper,1605340026,4.38,-7.72,79.93,83,0,4.38
175,US,North Platte,1605340026,41.12,-100.77,37.4,51,1,41.12
176,CA,Thompson,1605339900,55.74,-97.86,19.4,100,90,55.74
177,TZ,Liuli,1605340026,-11.08,34.63,83.05,58,61,-11.08
178,ID,Pringsewu,1605340026,-5.36,104.97,86.65,72,87,-5.36
179,SY,Abu Samrah,1605340027,35.3,37.18,68.11,39,100,35.3
180,SJ,Longyearbyen,1605340027,78.22,15.64,35.6,80,75,78.22
181,HU,Hortobágy,1605340027,47.58,21.15,44.6,100,75,47.58
182,US,Fortuna,1605340027,40.6,-124.16,44.6,100,90,40.6
183,AU,Codrington,1605340027,-38.27,141.97,56.91,76,91,-38.27
184,ZA,Richards Bay,1605340027,-28.78,32.04,81.16,56,0,-28.78
185,IN,Tura,1605339731,25.52,90.22,81.1,59,0,25.52
186,BR,Castro,1605340027,-24.79,-50.01,61.36,96,80,-24.79
187,UZ,Yangi Marg`ilon,1605340028,40.43,71.72,42.8,87,90,40.43
188,CD,Bukama,1605340028,-9.2,25.85,81.01,67,100,-9.2
189,RU,Srednekolymsk,1605340028,67.45,153.68,-12.64,87,42,67.45
190,TH,Thap Than,1605340028,15.46,99.89,83.19,53,34,15.46
191,IS,Grindavik,1605340028,63.84,-22.43,35.6,80,75,63.84
192,PG,Kavieng,1605340028,-2.57,150.8,83.82,77,3,-2.57
193,US,Wilmington,1605339765,34.23,-77.94,57.0,93,90,34.23
194,BR,Padre Bernardo,1605340028,-15.35,-48.5,68.92,89,100,-15.35
195,US,Meadow Lake,1605340029,34.8,-106.54,39.99,44,1,34.8
196,AU,Alice Springs,1605339870,-23.7,133.88,105.8,7,96,-23.7
197,US,Saint Paul Harbor,1605340029,57.79,-152.41,33.8,50,1,57.79
198,KZ,Shar,1605340029,49.59,81.05,33.71,74,73,49.59
199,PE,Pisco,1605340029,-13.7,-76.22,62.6,93,75,-13.7
200,ID,Waingapu,1605340029,-9.66,120.26,89.85,49,92,-9.66
201,ZA,Cape Town,1605339813,-33.93,18.42,69.01,59,75,-33.93
202,US,Broome,1605340029,42.25,-75.83,41.0,74,90,42.25
203,RU,Alekseyevsk,1605340030,57.84,108.35,20.39,93,100,57.84
204,AU,Port Macquarie,1605340025,-31.43,152.92,73.0,66,0,-31.43
205,CL,Copiapó,1605340030,-27.37,-70.33,55.4,82,100,-27.37
206,RU,Tiksi,1605340030,71.69,128.87,-8.21,92,95,71.69
207,US,Kenai,1605340030,60.55,-151.26,28.0,92,90,60.55
208,US,Twin Falls,1605340030,42.35,-114.64,37.4,64,90,42.35
209,AU,Inverell,1605340030,-29.78,151.12,72.16,41,0,-29.78
210,US,Lexington,1605339895,37.99,-84.48,35.6,74,1,37.99
211,PT,Ribeira Grande,1605340031,38.52,-28.7,66.2,93,75,38.52
212,VU,Isangel,1605340031,-19.55,169.27,77.14,78,3,-19.55
213,AU,Karratha,1605339956,-20.74,116.85,88.5,33,0,-20.74
214,PK,Gwadar,1605340031,25.12,62.33,81.16,47,0,25.12
215,CA,Bonavista,1605340031,48.65,-53.11,37.0,77,100,48.65
216,MV,Dhidhdhoo,1605340031,6.88,73.1,83.32,71,100,6.88
217,NA,Karasburg,1605340032,-28.02,18.75,78.12,19,0,-28.02
218,NO,Sandnessjøen,1605340032,66.02,12.63,44.6,81,100,66.02
219,NA,Eenhana,1605340032,-17.47,16.33,75.63,59,100,-17.47
220,CH,Herzogenbuchsee,1605340032,47.19,7.71,50.0,100,90,47.19
221,SA,Abhā,1605340032,18.22,42.51,69.8,35,0,18.22
222,MX,San Luis Río Colorado,1605340032,32.46,-114.78,55.4,32,1,32.46
223,CN,Anqiu,1605340032,36.43,119.19,64.29,46,0,36.43
224,US,Santa Barbara,1605339589,34.73,-120.03,48.99,87,1,34.73
225,GR,Methóni,1605340032,36.82,21.7,63.0,67,20,36.82
226,PG,Port Moresby,1605340033,-9.44,147.18,84.2,74,40,-9.44
227,BR,Acaraú,1605340033,-2.89,-40.12,79.16,79,0,-2.89
228,ZA,Port Alfred,1605340033,-33.59,26.89,73.29,64,11,-33.59
229,GB,Liverpool,1605340033,53.41,-2.98,52.0,93,100,53.41
230,PE,Huari,1605340033,-9.33,-77.23,39.63,94,98,-9.33
231,US,Saint Anthony,1605340033,45.02,-93.22,33.01,92,1,45.02
232,YE,Sayyan,1605340033,15.17,44.32,66.36,23,43,15.17
233,LY,Misratah,1605340034,32.38,15.09,67.32,59,0,32.38
234,RU,Kyshtovka,1605340034,56.55,76.63,24.75,94,100,56.55
235,NZ,Kaitangata,1605340034,-46.28,169.85,63.01,56,100,-46.28
236,GB,Brae,1605340034,60.4,-1.35,50.0,81,20,60.4
237,CN,Laiyang,1605340034,36.98,120.71,59.95,51,0,36.98
238,GF,Sinnamary,1605340034,5.38,-52.95,78.53,86,100,5.38
239,UY,Rocha,1605340034,-34.48,-54.33,62.22,96,98,-34.48
240,GF,Iracoubo,1605340035,5.48,-53.2,78.1,88,100,5.48
241,IN,Balotra,1605340035,25.83,72.23,87.35,23,0,25.83
242,GF,Cayenne,1605339971,4.93,-52.33,77.0,100,90,4.93
243,NO,Gravdal,1605340035,68.12,13.5,44.6,81,75,68.12
244,US,Sitka,1605340035,57.05,-135.33,35.6,85,90,57.05
245,AU,Kununurra,1605340035,-15.77,128.73,104.0,35,0,-15.77
246,GA,Port-Gentil,1605340035,-0.72,8.78,80.6,88,40,-0.72
247,US,Sunrise Manor,1605339959,36.21,-115.07,62.6,23,1,36.21
248,RU,Klyuchi,1605340035,52.27,79.17,32.11,79,100,52.27
249,PE,Chimbote,1605339863,-9.09,-78.58,61.25,90,73,-9.09
250,CA,Havre-St-Pierre,1605340036,50.23,-63.6,32.0,88,90,50.23
251,AU,Esperance,1605340036,-33.87,121.9,71.6,53,75,-33.87
252,AR,Mercedes,1605339797,-34.65,-59.43,64.99,83,18,-34.65
253,RU,Ostrovnoy,1605340036,68.05,39.51,35.67,89,100,68.05
254,US,Stephenville,1605339975,32.22,-98.2,66.99,88,90,32.22
255,GQ,Luba,1605340036,3.46,8.55,78.8,100,40,3.46
256,IN,Lādnūn,1605340036,27.65,74.38,84.09,18,0,27.65
257,RU,Chernolesskoye,1605340037,44.72,43.71,43.07,56,0,44.72
258,NA,Opuwo,1605340037,-18.06,13.84,80.65,39,0,-18.06
259,PT,Lagoa,1605340037,39.05,-27.98,65.86,91,100,39.05
260,GY,Lethem,1605340037,3.38,-59.8,76.1,87,100,3.38
261,PF,Vaitape,1605340037,-16.52,-151.75,80.4,75,76,-16.52
262,US,Havelock,1605339972,34.88,-76.9,54.0,96,0,34.88
263,US,Fairbanks,1605340037,64.84,-147.72,15.8,85,90,64.84
264,OM,Salalah,1605340025,17.02,54.09,84.2,48,20,17.02
265,AU,Clarence Town,1605340037,-32.58,151.78,71.6,68,0,-32.58
266,RO,Slimnic,1605340038,45.92,24.17,45.0,87,75,45.92
267,BO,Urubichá,1605340038,-15.38,-62.95,71.94,84,10,-15.38
268,AR,Río Gallegos,1605339754,-51.62,-69.22,39.2,64,0,-51.62
269,US,Rowlett,1605339828,32.9,-96.56,66.0,82,90,32.9
270,US,Westport,1605340038,41.14,-73.36,48.0,82,0,41.14
271,JP,Namie,1605340038,37.48,141.0,55.99,44,0,37.48
272,BR,Vila Velha,1605340038,-20.33,-40.29,75.99,83,90,-20.33
273,US,Polson,1605339855,47.69,-114.16,32.0,46,20,47.69
274,BR,Caravelas,1605340039,-17.71,-39.25,75.54,82,97,-17.71
275,MX,Kantunilkín,1605340039,21.09,-87.45,78.8,88,75,21.09
276,MX,Guerrero Negro,1605339806,27.98,-114.06,63.14,77,0,27.98
277,ID,Padang,1605339763,-0.95,100.35,85.05,71,94,-0.95
278,JP,Katsuura,1605339862,35.13,140.3,64.4,55,20,35.13
279,IL,Kiryat Gat,1605339844,31.61,34.76,73.0,53,0,31.61
280,RU,Oktyabr'skiy,1605340039,54.48,53.47,18.18,93,98,54.48
281,ML,Tessalit,1605340040,20.2,1.01,74.3,19,0,20.2
282,UZ,Almazar,1605340040,40.32,69.01,39.2,93,90,40.32
283,LY,Tūkrah,1605340040,32.53,20.58,68.76,55,27,32.53
284,RU,Mirny,1605340040,62.54,113.96,17.6,85,90,62.54
285,CA,Saint-Augustin,1605340040,51.23,-58.65,33.21,85,99,51.23
