,Country,City,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
286,PG,Lorengau,1605340040,-2.02,147.27,83.84,75,98,-2.02
287,CA,Norman Wells,1605340040,65.28,-126.83,-16.6,75,40,65.28
288,RU,Zhigansk,1605340041,66.77,123.37,7.2,95,83,66.77
289,BR,Arraial do Cabo,1605340041,-22.97,-42.03,72.84,94,100,-22.97
290,PF,Faanui,1605340041,-16.48,-151.75,79.54,76,75,-16.48
291,LY,Waddān,1605340041,29.16,16.14,65.17,62,0,29.16
292,CN,Jinchang,1605340041,38.5,102.17,50.86,46,100,38.5
293,BR,Lapa,1605340041,-25.77,-49.72,64.0,100,75,-25.77
294,RU,Talakan,1605340042,50.32,130.37,26.53,95,97,50.32
295,NO,Sistranda,1605340042,63.73,8.83,44.6,70,0,63.73
296,GY,Mabaruma,1605340042,8.2,-59.78,73.58,99,98,8.2
297,RU,Beringovskiy,1605340042,63.05,179.32,14.45,91,99,63.05
298,CA,Port Hardy,1605340042,50.7,-127.42,42.8,93,40,50.7
299,GB,Barrhead,1605340042,55.8,-4.39,48.2,87,75,55.8
300,RU,Sangar,1605340042,63.92,127.47,10.85,95,88,63.92
301,PE,Piura,1605340042,-5.2,-80.63,61.63,84,79,-5.2
302,RU,Verkhotur'ye,1605340043,58.86,60.81,15.73,88,100,58.86
303,HK,Hong Kong,1605339957,22.29,114.16,75.99,60,100,22.29
304,NZ,Dunedin,1605339879,-45.87,170.5,63.0,59,100,-45.87
305,JP,Hasaki,1605339765,35.73,140.83,60.8,55,20,35.73
306,AU,Carnarvon,1605340043,-24.87,113.63,77.0,53,5,-24.87
307,CA,Vernon,1605339903,50.26,-119.27,35.6,94,100,50.26
308,AU,Port Hedland,1605340043,-20.32,118.57,95.0,28,0,-20.32
309,CA,Clyde River,1605340044,70.47,-68.59,17.6,72,90,70.47
310,JP,Fukuechō,1605340044,32.69,128.84,68.0,42,0,32.69
311,TR,Devrek,1605340044,41.22,31.96,57.42,61,100,41.22
312,CV,Praia,1605339888,14.92,-23.51,73.4,69,20,14.92
313,MY,Sri Aman,1605340044,1.24,111.46,86.0,79,40,1.24
314,AU,Leeton,1605340044,-34.57,146.4,80.6,21,0,-34.57
315,RU,Igarka,1605340044,67.47,86.58,-11.34,90,97,67.47
316,AR,Viedma,1605340044,-40.81,-63.0,61.57,49,51,-40.81
317,AU,Colac,1605340045,-38.33,143.58,57.99,89,78,-38.33
318,GY,Catherinas Lust,1605340045,6.4,-57.6,78.28,88,100,6.4
319,PH,Araceli,1605340045,10.55,119.99,84.18,80,0,10.55
320,RU,Cherskiy,1605340045,68.75,161.3,-8.48,86,90,68.75
321,NZ,Tuatapere,1605340045,-46.13,167.68,60.01,80,100,-46.13
322,CO,Nechí,1605340045,8.09,-74.78,72.07,96,99,8.09
323,UY,Chui,1605340045,-33.7,-53.46,60.12,97,2,-33.7
324,PK,Islamkot,1605340045,24.7,70.18,88.05,22,0,24.7
325,JP,Izumo,1605340046,35.37,132.77,60.8,59,20,35.37
326,PE,Barranca,1605340046,-10.75,-77.77,61.02,89,75,-10.75
327,GL,Nanortalik,1605340026,60.14,-45.24,27.05,87,100,60.14
328,ZA,Port Elizabeth,1605340046,-33.92,25.57,69.8,68,40,-33.92
329,PT,Camacha,1605340047,33.08,-16.33,69.8,88,40,33.08
330,AR,Comodoro Rivadavia,1605340047,-45.87,-67.5,53.6,50,0,-45.87
331,CN,Beihai,1605340047,21.48,109.1,71.01,59,100,21.48
332,PE,Sechura,1605340047,-5.56,-80.82,61.83,86,37,-5.56
333,MX,Campo Sesenta,1605340047,27.45,-110.1,63.82,54,0,27.45
334,VU,Sola,1605340048,-13.88,167.55,81.84,82,61,-13.88
335,NZ,Waipawa,1605340048,-41.41,175.52,59.0,82,0,-41.41
336,IS,Husavik,1605340048,66.04,-17.34,35.6,93,75,66.04
337,NG,Bara,1605340048,10.37,10.73,87.87,22,4,10.37
338,MV,Mahibadhoo,1605340048,3.78,72.97,82.27,78,100,3.78
339,KZ,Beyneu,1605340048,45.32,55.2,36.25,72,37,45.32
340,JP,Nemuro,1605340049,43.32,145.57,41.0,75,75,43.32
341,DE,Meuselwitz,1605340049,51.05,12.3,53.6,81,100,51.05
342,RU,Talnakh,1605340049,69.49,88.4,-22.0,74,20,69.49
343,US,Portland,1605339974,45.52,-122.68,43.0,81,40,45.52
344,AM,Akner,1605340049,39.53,46.31,41.85,63,2,39.53
345,AU,Corowa,1605340049,-36.03,146.38,77.0,30,0,-36.03
346,CN,Aksu,1605340049,41.12,80.26,51.22,35,97,41.12
347,TR,Bayir,1605340049,37.27,28.22,57.2,71,0,37.27
348,RU,Orlik,1605340050,52.52,99.83,18.93,87,32,52.52
349,MD,Dnestrovsc,1605340050,46.62,29.91,44.01,75,20,46.62
350,IN,Kattivākkam,1605340050,13.22,80.32,89.6,55,40,13.22
351,TR,Tosya,1605340050,41.02,34.04,51.69,41,0,41.02
352,US,Lebanon,1605340050,36.21,-86.29,41.0,100,1,36.21
353,RU,Esso,1605340050,55.93,158.7,18.63,93,100,55.93
354,RU,Magadan,1605340050,59.57,150.8,20.23,96,100,59.57
355,NO,Roald,1605340051,62.58,6.13,50.0,61,75,62.58
356,RU,Oktyabr'skoye,1605340051,43.06,44.74,42.01,51,57,43.06
357,AU,Townsville,1605339871,-19.25,146.8,84.2,58,73,-19.25
358,HT,Les Cayes,1605340051,18.2,-73.75,76.28,80,78,18.2
359,ID,Sungai Raya,1605340051,0.7,108.9,79.88,87,100,0.7
360,PF,Teahupoo,1605340051,-17.83,-149.27,78.8,74,20,-17.83
361,NZ,Te Anau,1605340051,-45.42,167.72,56.61,78,100,-45.42
362,CA,Chase,1605339942,50.82,-119.69,33.8,93,96,50.82
363,ES,Avilés,1605340052,43.55,-5.92,53.6,66,0,43.55
364,LK,Matara,1605340052,5.95,80.54,85.39,69,41,5.95
365,BR,Barra do Corda,1605340052,-5.5,-45.25,73.24,92,93,-5.5
366,RU,Kodinsk,1605340052,58.69,99.18,21.07,95,99,58.69
367,RU,Mezen',1605339870,65.85,44.24,35.38,96,100,65.85
368,CA,Halifax,1605340041,44.65,-63.57,39.99,100,100,44.65
369,IN,Udayagiri,1605340052,20.13,84.38,80.04,48,0,20.13
370,AR,La Plata,1605340052,-34.92,-57.95,66.0,93,9,-34.92
371,RU,Udachny,1605340053,66.42,112.4,1.4,84,90,66.42
372,ZW,Chipinge,1605340053,-20.19,32.62,80.35,27,0,-20.19
373,ES,Calatayud,1605340053,41.35,-1.64,51.8,100,100,41.35
374,ES,Tacoronte,1605340053,28.48,-16.41,73.99,34,20,28.48
375,KZ,South Kazakhstan Region,1605340053,43.0,68.0,42.3,54,0,43.0
376,NZ,Kaeo,1605340053,-35.1,173.78,63.0,76,24,-35.1
377,NO,Mehamn,1605340054,71.04,27.85,37.18,78,0,71.04
378,US,Kingsville,1605340054,27.52,-97.86,73.4,94,1,27.52
379,CL,Talcahuano,1605340054,-36.72,-73.12,50.0,81,0,-36.72
380,MZ,Inhambane,1605340054,-23.86,35.38,80.6,51,40,-23.86
381,RU,Borovichi,1605340054,58.39,33.92,35.85,85,92,58.39
382,TD,Am Timan,1605340054,11.03,20.28,86.41,21,26,11.03
383,GB,Harwich,1605340055,51.94,1.28,55.0,86,100,51.94
384,RU,Ust-Kuyga,1605340055,70.02,135.6,-14.69,87,52,70.02
385,ES,Bereda,1605340055,43.27,-7.54,54.0,80,100,43.27
386,CA,Ferme-Neuve,1605340037,46.7,-75.45,37.4,74,92,46.7
387,RU,Zavodouspenskoye,1605340055,56.86,65.02,15.8,78,75,56.86
388,CN,Xinqing,1605340055,48.23,129.5,33.13,81,0,48.23
389,SD,Wagar,1605340055,16.15,36.2,88.09,37,47,16.15
390,NP,Jaleshwar,1605340056,26.65,85.8,85.55,29,0,26.65
391,US,Ukiah,1605339790,39.15,-123.21,44.6,93,1,39.15
392,AU,Sawtell,1605340056,-30.38,153.1,78.8,61,40,-30.38
393,TD,Bol,1605340056,13.46,14.71,81.9,39,39,13.46
394,CA,Nipawin,1605340056,53.37,-104.0,24.8,92,90,53.37
395,RU,Strezhevoy,1605340056,60.73,77.59,14.0,85,75,60.73
396,RU,Verkhoyansk,1605340056,67.54,133.38,-13.13,85,95,67.54
397,MX,Isla Mujeres,1605340056,21.23,-86.73,78.8,88,75,21.23
398,AL,Delvinë,1605340057,39.95,20.1,64.0,82,20,39.95
399,LY,Jalu,1605340057,29.03,21.55,70.0,53,1,29.03
400,BD,Teknāf,1605340057,20.86,92.31,86.14,59,0,20.86
401,RU,Moscow,1605339852,55.75,37.62,36.0,100,75,55.75
402,ID,Merauke,1605340028,-8.47,140.33,85.91,65,6,-8.47
403,PT,Praia da Vitória,1605340057,38.73,-27.07,64.99,82,20,38.73
404,US,Nānākuli,1605340057,21.39,-158.15,77.0,73,20,21.39
405,IN,Jaisalmer,1605340058,26.91,70.92,87.04,15,0,26.91
406,MX,Puerto Escondido,1605340058,15.85,-97.07,78.57,79,0,15.85
407,LK,Point Pedro,1605340058,9.82,80.23,82.83,80,73,9.82
408,US,‘Āhuimanu,1605340022,21.44,-157.84,78.8,74,75,21.44
409,MX,Vega de Alatorre,1605340058,20.03,-96.63,74.98,81,0,20.03
410,MU,Mahébourg,1605340058,-20.41,57.7,80.6,78,40,-20.41
411,CN,Dezhou,1605340059,37.45,116.29,67.48,42,0,37.45
412,GD,Gouyave,1605340059,12.16,-61.73,78.8,88,20,12.16
413,CN,Lanzhou,1605339883,36.06,103.79,53.6,54,0,36.06
414,RU,Deputatsky,1605340059,69.3,139.9,-12.71,87,42,69.3
415,CN,Gejiu,1605340059,23.31,103.16,61.23,48,0,23.31
416,SA,Riyadh,1605339945,24.69,46.72,69.8,40,0,24.69
417,TW,Yilan,1605340059,24.76,121.75,73.99,99,100,24.76
418,AF,Khowst,1605340059,33.38,69.88,48.65,77,100,33.38
419,CA,Chapais,1605340060,49.78,-74.85,26.6,86,1,49.78
420,SD,Umm Kaddadah,1605340060,13.6,26.69,77.79,18,37,13.6
421,KZ,Oskemen,1605340060,49.96,82.61,35.6,47,40,49.96
422,RU,Anadyr,1605340060,64.75,177.48,8.6,84,75,64.75
423,MX,Ojinaga,1605340060,29.57,-104.42,64.4,77,1,29.57
424,NO,Trofors,1605340060,65.53,13.41,44.6,81,100,65.53
425,MX,Tomatlán,1605340060,19.93,-105.25,69.64,94,100,19.93
426,US,Las Cruces,1605340026,32.31,-106.78,51.01,42,1,32.31
427,ZA,Plettenberg Bay,1605340061,-34.05,23.37,67.82,65,75,-34.05
428,RU,Yerbogachën,1605340061,61.28,108.01,12.9,94,100,61.28
429,ID,Kendari,1605340061,-3.94,122.5,86.47,64,60,-3.94
430,MG,Beloha,1605340061,-25.17,45.05,80.28,37,0,-25.17
431,JP,Naze,1605340061,28.37,129.48,77.0,78,75,28.37
432,LK,Kalmunai,1605340061,7.42,81.82,85.24,71,94,7.42
433,EC,Muisne,1605340061,0.6,-80.03,72.25,83,96,0.6
434,GA,Omboué,1605340062,-1.57,9.26,81.3,78,99,-1.57
435,BJ,Porto-Novo,1605340022,6.5,2.6,80.6,88,40,6.5
436,KR,Gijang,1605340062,35.24,129.21,66.2,48,75,35.24
437,AO,Lumeje,1605340062,-11.55,20.78,67.23,93,100,-11.55
438,ID,Sibolga,1605339995,1.74,98.78,86.29,66,100,1.74
439,GL,Paamiut,1605340002,61.99,-49.67,24.87,86,0,61.99
440,GA,Ndjolé,1605340062,-0.18,10.76,80.67,80,93,-0.18
441,CN,Kumul,1605340063,42.8,93.45,54.9,33,31,42.8
442,US,Payson,1605340063,40.04,-111.73,46.4,83,90,40.04
443,ID,Sabang,1605340063,5.89,95.32,83.12,72,83,5.89
444,IS,Olafsvik,1605340063,64.89,-23.71,33.17,88,50,64.89
445,MX,Puerto Madero,1605340063,14.72,-92.42,76.95,85,11,14.72
446,MX,Rosarito,1605340064,32.33,-117.03,57.2,100,1,32.33
447,PG,Namatanai,1605340064,-3.67,152.43,82.24,77,33,-3.67
448,AR,Puerto Rico,1605340064,-26.8,-55.02,65.34,76,0,-26.8
449,BY,Masty,1605340064,53.41,24.54,41.0,100,90,53.41
450,GB,Falmouth,1605340064,50.15,-5.07,55.4,100,100,50.15
451,US,Palmer,1605340064,42.16,-72.33,37.99,93,90,42.16
452,CN,Loudi,1605340064,27.73,111.99,72.12,38,0,27.73
453,IN,Kavaratti,1605340065,10.57,72.64,87.8,70,20,10.57
454,PT,Bombarral,1605340000,39.27,-9.16,62.01,90,87,39.27
455,US,Logansport,1605340065,40.75,-86.36,24.8,100,1,40.75
456,ID,Banda Aceh,1605340065,5.56,95.32,83.98,71,86,5.56
457,AU,Moss Vale,1605340065,-34.55,150.38,69.8,64,0,-34.55
458,BR,Portel,1605340065,-1.94,-50.82,74.64,93,100,-1.94
459,NZ,Christchurch,1605339904,-43.53,172.63,64.4,48,100,-43.53
460,CD,Kambove,1605340066,-10.88,26.6,71.73,81,98,-10.88
461,LK,Wattegama,1605340066,6.8,81.48,89.6,79,40,6.8
462,BW,Gweta,1605340066,-20.18,25.23,84.38,38,14,-20.18
463,JP,Hirara,1605340066,24.8,125.28,78.8,78,75,24.8
464,AR,Tigre,1605339868,-34.43,-58.58,69.01,88,0,-34.43
465,US,Pacific Grove,1605340066,36.62,-121.92,55.4,93,90,36.62
466,CA,Pangnirtung,1605340066,66.15,-65.71,6.51,81,58,66.15
467,ES,Muros,1605340066,42.78,-9.06,59.0,82,40,42.78
468,KR,Seoul,1605339827,37.57,126.98,64.4,36,1,37.57
469,PG,Daru,1605340067,-9.08,143.21,79.25,76,0,-9.08
470,MW,Chitipa,1605340067,-9.7,33.27,80.55,47,32,-9.7
471,CD,Isiro,1605340067,2.77,27.62,77.58,68,100,2.77
472,PE,Mollendo,1605340067,-17.02,-72.01,62.67,80,43,-17.02
473,CN,Jishou,1605340067,28.32,109.72,69.8,46,0,28.32
474,RU,Tigil',1605340067,57.8,158.67,25.72,93,100,57.8
475,RU,Onega,1605340068,63.91,38.14,35.64,85,100,63.91
476,IR,Shahrud,1605340068,36.42,54.98,45.41,55,0,36.42
477,RU,Tazovsky,1605340127,67.47,78.7,-6.68,91,62,67.47
478,IN,Srīvardhan,1605340091,18.03,73.02,89.53,54,0,18.03
479,RU,Shebalino,1605340127,51.29,85.68,25.88,81,27,51.29
480,ZA,Port Shepstone,1605340127,-30.74,30.45,75.9,75,0,-30.74
481,TO,Neiafu,1605340127,-18.65,-173.98,78.06,81,0,-18.65
482,RU,Divnomorskoye,1605340127,44.5,38.14,55.42,50,100,44.5
483,RU,Zyryanka,1605340128,65.75,150.85,-13.79,87,0,65.75
484,ZA,Ellisras,1605340128,-23.66,27.74,85.37,19,5,-23.66
485,RU,Kargasok,1605340023,59.06,80.86,20.26,96,73,59.06
486,NG,Epe,1605340128,6.58,3.98,82.29,79,58,6.58
487,DO,Pedernales,1605340128,18.04,-71.74,77.74,61,24,18.04
488,MX,Acapetahua,1605340128,15.28,-92.7,73.24,83,4,15.28
489,BR,Santo Antônio do Amparo,1605340128,-20.95,-44.92,63.21,97,100,-20.95
490,ES,Mejorada del Campo,1605340128,40.39,-3.48,53.01,93,75,40.39
491,PE,Hualmay,1605340034,-11.1,-77.61,60.49,87,45,-11.1
492,PH,Dingle,1605340129,11.0,122.67,83.88,81,48,11.0
493,RU,Egvekinot,1605340129,66.32,-179.17,5.52,90,0,66.32
494,ES,Puerto del Rosario,1605340129,28.5,-13.86,71.6,64,0,28.5
495,PR,Aguadilla,1605340092,18.43,-67.15,75.0,90,100,18.43
496,US,Half Moon Bay,1605340129,37.46,-122.43,53.6,100,90,37.46
497,AU,Yulara,1605340129,-25.24,130.99,107.6,6,6,-25.24
498,CN,Ganzhou,1605340129,28.82,115.43,70.09,45,0,28.82
499,ZM,Kalabo,1605340130,-14.97,22.68,81.9,49,60,-14.97
500,NE,Say,1605340130,13.1,2.37,75.2,22,0,13.1
501,MV,Malé,1605340130,4.17,73.51,82.4,88,75,4.17
502,BR,São João da Barra,1605340068,-21.64,-41.05,73.04,94,100,-21.64
503,CN,Tianpeng,1605340130,30.99,103.94,77.0,1,18,30.99
504,PT,Ponta Delgada,1605340130,37.73,-25.67,64.4,93,75,37.73
505,VE,San Cristobal,1605340130,7.77,-72.22,66.87,89,95,7.77
506,BO,Puerto Quijarro,1605340130,-17.78,-57.77,71.82,92,55,-17.78
507,MU,Cap Malheureux,1605340130,-19.98,57.61,78.01,80,37,-19.98
508,RU,Dudinka,1605340131,69.41,86.18,-22.0,74,20,69.41
509,US,Nome,1605340131,64.5,-165.41,19.4,62,1,64.5
510,NO,Tromsø,1605340131,69.65,18.96,41.0,60,0,69.65
511,JP,Nara,1605340131,34.69,135.8,64.4,39,0,34.69
512,MM,Wakema,1605340131,16.6,95.18,87.64,64,0,16.6
513,PG,Vanimo,1605340131,-2.67,141.3,82.98,75,99,-2.67
514,BR,Conde,1605340131,-7.26,-34.91,75.2,88,20,-7.26
515,FR,Besançon,1605340132,47.25,6.02,50.0,100,0,47.25
516,US,Haysville,1605340132,37.56,-97.35,53.01,53,90,37.56
517,US,Avera,1605340132,33.19,-82.53,53.6,81,1,33.19
518,NA,Oranjemund,1605340132,-28.55,16.43,62.33,78,100,-28.55
519,CA,Flin Flon,1605340132,54.77,-101.86,20.61,98,100,54.77
520,CL,Vallenar,1605340132,-28.57,-70.76,48.9,83,0,-28.57
521,RU,Usinsk,1605340132,65.99,57.53,7.47,94,100,65.99
522,PT,Peniche,1605340133,39.36,-9.38,62.01,90,77,39.36
523,ID,Biak,1605340133,-0.91,122.88,83.57,72,37,-0.91
524,BR,São Cristóvão,1605340133,-11.01,-37.21,78.8,78,20,-11.01
525,MM,Pathein,1605340133,16.78,94.73,86.74,67,0,16.78
526,CO,San Andrés,1605340133,12.58,-81.7,80.6,88,20,12.58
527,AU,Batemans Bay,1605340133,-35.72,150.18,68.0,54,79,-35.72
528,RU,Gubskaya,1605340133,44.32,40.64,53.8,41,100,44.32
529,US,Eureka,1605340133,40.8,-124.16,45.0,95,0,40.8
530,IN,Port Blair,1605340134,11.67,92.75,82.58,78,100,11.67
531,IT,Iglesias,1605340134,39.31,8.54,53.6,81,20,39.31
532,LV,Liepāja,1605340134,56.54,21.04,39.2,93,79,56.54
533,RU,Ust-Maya,1605340134,60.42,134.53,13.06,95,100,60.42
534,CA,Grande Prairie,1605339898,55.17,-118.8,17.6,92,75,55.17
535,CL,Coyhaique,1605340134,-45.58,-72.07,42.8,93,20,-45.58
536,BR,São José da Coroa Grande,1605340134,-8.9,-35.15,76.37,85,84,-8.9
537,AU,Bundaberg,1605340134,-24.85,152.35,80.6,65,4,-24.85
538,BR,Alta Floresta,1605340134,-9.88,-56.09,68.72,97,100,-9.88
539,ID,Sumenep,1605340135,-7.02,113.87,89.1,55,94,-7.02
540,MX,Progreso,1605340135,21.28,-89.67,75.99,94,5,21.28
541,ID,Kawalu,1605340135,-7.38,108.21,82.85,75,100,-7.38
542,IN,Joshīmath,1605340135,30.57,79.57,64.22,22,100,30.57
543,US,Lompoc,1605340135,34.64,-120.46,48.2,93,1,34.64
544,EG,Marsá Maţrūḩ,1605340135,31.35,27.25,69.8,60,75,31.35
545,ID,Tarakan,1605340136,3.3,117.63,84.49,71,80,3.3
546,PT,Lata,1605340136,40.16,-8.33,61.0,90,99,40.16
547,MX,Isla Aguada,1605340136,18.78,-91.47,77.67,88,0,18.78
548,BR,Itaqui,1605340136,-29.13,-56.55,63.77,81,0,-29.13
549,RU,Lensk,1605340136,60.73,114.93,16.5,93,100,60.73
550,MG,Mahanoro,1605340136,-19.9,48.8,76.39,73,55,-19.9
551,NL,The Hague,1605339937,52.08,4.3,52.0,93,90,52.08
552,BR,Mozarlândia,1605340136,-14.74,-50.57,72.34,89,100,-14.74
553,UA,Velyka Bilozerka,1605340136,47.28,34.71,40.96,68,100,47.28
554,RU,Okhotsk,1605340137,59.38,143.3,11.66,91,0,59.38
555,CA,Malartic,1605340137,48.13,-78.13,28.4,79,90,48.13
556,TZ,Makungu,1605340137,-8.73,35.28,77.36,58,62,-8.73
557,UG,Kyotera,1605340137,-0.62,31.52,67.57,90,100,-0.62
558,AO,Camacupa,1605340137,-12.02,17.48,63.05,99,100,-12.02
559,US,Saraland,1605340137,30.82,-88.07,60.01,82,1,30.82
560,LK,Hambantota,1605340137,6.12,81.12,89.6,79,40,6.12
561,ID,Ambulu,1605340137,-8.35,113.61,84.65,77,87,-8.35
562,SO,Hobyo,1605340138,5.35,48.53,83.07,61,58,5.35
563,RU,Teya,1605340138,60.38,92.63,19.74,94,99,60.38
564,PF,Tiarei,1605340138,-17.53,-149.33,78.8,69,20,-17.53
565,VE,Ciudad Bolivar,1605340138,8.12,-63.55,77.07,88,100,8.12
566,PH,Liloy,1605340138,8.11,122.66,84.24,79,16,8.11
567,CN,Xining,1605340033,36.62,101.77,57.69,32,46,36.62
568,JP,Honchō,1605340138,41.88,140.68,48.2,61,40,41.88
569,RU,Vuktyl,1605340138,63.86,57.31,10.27,92,54,63.86
570,IT,Maglie,1605340138,40.12,18.3,57.99,100,75,40.12
571,BB,Oistins,1605340139,13.07,-59.53,75.2,94,40,13.07
572,KY,Bodden Town,1605340139,19.28,-81.25,81.0,87,20,19.28
573,US,Spring Hill,1605340139,28.48,-82.53,68.0,94,90,28.48
574,CL,Tocopilla,1605340139,-22.09,-70.2,59.83,64,22,-22.09
